timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714890374259,5,PYTHON,201,Created,ALUMNO_POST 1-15,text,true,,482,1207,15,15,http://localhost:8000/api/alumnos/create/,5,0,0
1714890374080,191,PHP,200,OK,ALUMNO_POST 1-4,text,true,,19338,469,15,15,http://localhost:8001,87,0,0
1714890374080,87,PHP-0,302,Found,ALUMNO_POST 1-4,text,true,,650,321,15,15,http://localhost:8001/api/alumnos/,87,0,0
1714890374167,104,PHP-1,200,OK,ALUMNO_POST 1-4,text,true,,18688,148,15,15,http://localhost:8001,104,0,0
1714890374271,4,PYTHON,201,Created,ALUMNO_POST 1-4,text,true,,482,1158,15,15,http://localhost:8000/api/alumnos/create/,4,0,0
1714890374104,192,PHP,200,OK,ALUMNO_POST 1-7,text,true,,19338,469,15,15,http://localhost:8001,84,0,0
1714890374104,85,PHP-0,302,Found,ALUMNO_POST 1-7,text,true,,650,321,15,15,http://localhost:8001/api/alumnos/,84,0,0
1714890374189,107,PHP-1,200,OK,ALUMNO_POST 1-7,text,true,,18688,148,15,15,http://localhost:8001,107,0,0
1714890374296,6,PYTHON,201,Created,ALUMNO_POST 1-7,text,true,,482,1179,15,15,http://localhost:8000/api/alumnos/create/,6,0,0
1714890374114,190,PHP,200,OK,ALUMNO_POST 1-9,text,true,,19338,469,15,15,http://localhost:8001,85,0,0
1714890374114,86,PHP-0,302,Found,ALUMNO_POST 1-9,text,true,,650,321,15,15,http://localhost:8001/api/alumnos/,85,0,0
1714890374200,104,PHP-1,200,OK,ALUMNO_POST 1-9,text,true,,18688,148,15,15,http://localhost:8001,104,0,0
1714890374115,198,PHP,200,OK,ALUMNO_POST 1-12,text,true,,19338,469,16,16,http://localhost:8001,93,0,0
1714890374115,93,PHP-0,302,Found,ALUMNO_POST 1-12,text,true,,650,321,16,16,http://localhost:8001/api/alumnos/,93,0,0
1714890374208,105,PHP-1,200,OK,ALUMNO_POST 1-12,text,true,,18688,148,16,16,http://localhost:8001,105,0,0
1714890374304,10,PYTHON,201,Created,ALUMNO_POST 1-9,text,true,,482,1193,16,16,http://localhost:8000/api/alumnos/create/,10,0,0
1714890374313,5,PYTHON,201,Created,ALUMNO_POST 1-12,text,true,,482,1144,16,16,http://localhost:8000/api/alumnos/create/,5,0,0
1714890374309,9,PYTHON,201,Created,ALUMNO_POST 1-16,text,true,,482,1137,16,16,http://localhost:8000/api/alumnos/create/,9,0,0
1714890374128,209,PHP,200,OK,ALUMNO_POST 1-5,text,true,,19338,469,16,16,http://localhost:8001,95,0,0
1714890374128,96,PHP-0,302,Found,ALUMNO_POST 1-5,text,true,,650,321,16,16,http://localhost:8001/api/alumnos/,95,0,0
1714890374224,113,PHP-1,200,OK,ALUMNO_POST 1-5,text,true,,18688,148,16,16,http://localhost:8001,112,0,0
1714890374337,5,PYTHON,201,Created,ALUMNO_POST 1-5,text,true,,482,1137,16,16,http://localhost:8000/api/alumnos/create/,5,0,0
1714890374359,5,PYTHON,201,Created,ALUMNO_POST 1-17,text,true,,482,1172,17,17,http://localhost:8000/api/alumnos/create/,5,0,0
1714890374164,214,PHP,200,OK,ALUMNO_POST 1-13,text,true,,19338,469,17,17,http://localhost:8001,100,0,0
1714890374164,100,PHP-0,302,Found,ALUMNO_POST 1-13,text,true,,650,321,17,17,http://localhost:8001/api/alumnos/,100,0,0
1714890374264,114,PHP-1,200,OK,ALUMNO_POST 1-13,text,true,,18688,148,17,17,http://localhost:8001,114,0,0
1714890374378,4,PYTHON,201,Created,ALUMNO_POST 1-13,text,true,,482,1165,17,17,http://localhost:8000/api/alumnos/create/,4,0,0
1714890374178,221,PHP,200,OK,ALUMNO_POST 1-10,text,true,,19338,469,17,17,http://localhost:8001,101,0,0
1714890374178,102,PHP-0,302,Found,ALUMNO_POST 1-10,text,true,,650,321,17,17,http://localhost:8001/api/alumnos/,101,0,0
1714890374280,119,PHP-1,200,OK,ALUMNO_POST 1-10,text,true,,18688,148,17,17,http://localhost:8001,119,0,0
1714890374399,4,PYTHON,201,Created,ALUMNO_POST 1-10,text,true,,482,1144,17,17,http://localhost:8000/api/alumnos/create/,4,0,0
1714890374186,218,PHP,200,OK,ALUMNO_POST 1-6,text,true,,19338,469,17,17,http://localhost:8001,102,0,0
1714890374186,102,PHP-0,302,Found,ALUMNO_POST 1-6,text,true,,650,321,17,17,http://localhost:8001/api/alumnos/,102,0,0
1714890374288,116,PHP-1,200,OK,ALUMNO_POST 1-6,text,true,,18688,148,17,17,http://localhost:8001,116,0,0
